titulo,artista,edicion,genero,idioma,dificultad,coaches,archivo,edicion_codigo,map_name
Angeleyes,ABBA,ABBA: You Can Dance,Disco / Funk,Inglés,2,1,abbaangeleyes_pc.ipk,4884,ABBAAngelEyes
As Good as New,ABBA,ABBA: You Can Dance,Disco / Funk,Inglés,2,1,abbaasgoodasnew_pc.ipk,4884,ABBAAsGoodAsNew
Dancing Queen,ABBA,ABBA: You Can Dance,Disco / Funk,Inglés,2,1,abbadancingqueenprom_pc.ipk,4884,ABBADancingQueenPROM
Dancing Queen,ABBA,ABBA: You Can Dance,Disco / Funk,Inglés,2,1,abbadancingqueen_pc.ipk,4884,ABBADancingQueen
Fernando,ABBA,ABBA: You Can Dance,Disco / Funk,Inglés,1,2,abbafernando_pc.ipk,4884,ABBAFernando
Gimme! Gimme! Gimme! (A Man After Midnight),ABBA,ABBA: You Can Dance,Disco / Funk,Inglés,1,1,abbagimmegimme_pc.ipk,4884,ABBAGimmeGimme
"Honey, Honey",ABBA,ABBA: You Can Dance,Disco / Funk,Inglés,1,4,abbahoneyhoney_pc.ipk,4884,ABBAHoneyHoney
"Knowing Me, Knowing You",ABBA,ABBA: You Can Dance,Disco / Funk,Inglés,2,4,abbaknowingme_pc.ipk,4884,ABBAKnowingMe
Lay All Your Love On Me,ABBA,ABBA: You Can Dance,Disco / Funk,Inglés,1,1,abbalayallyourlove_pc.ipk,4884,ABBALayAllYourLove
Mamma Mia,ABBA,ABBA: You Can Dance,Disco / Funk,Inglés,2,4,abbamammamia_pc.ipk,4884,ABBAMammaMia
"Money, Money, Money",ABBA,ABBA: You Can Dance,Disco / Funk,Inglés,2,1,abbamoneymoney_pc.ipk,4884,ABBAMoneyMoney
SOS,ABBA,ABBA: You Can Dance,Disco / Funk,Inglés,2,2,abbasos_pc.ipk,4884,ABBASOS
Summer Night City,ABBA,ABBA: You Can Dance,Disco / Funk,Inglés,2,1,abbasummernight_pc.ipk,4884,ABBASummerNight
Super Trouper,ABBA,ABBA: You Can Dance,Disco / Funk,Inglés,1,1,abbasupertrooper_pc.ipk,4884,ABBASuperTrooper
Take A Chance On Me,ABBA,ABBA: You Can Dance,Disco / Funk,Inglés,2,2,abbatakeachance_pc.ipk,4884,ABBATakeAChance
The Winner Takes It All,ABBA,ABBA: You Can Dance,Disco / Funk,Inglés,3,1,abbathewinner_pc.ipk,4884,ABBATheWinner
Voulez-Vous,ABBA,ABBA: You Can Dance,Disco / Funk,Inglés,2,1,abbavoulezvous_pc.ipk,4884,ABBAVoulezVous
Waterloo,ABBA,ABBA: You Can Dance,Disco / Funk,Inglés,1,4,abbawaterloo_pc.ipk,4884,ABBAWaterloo
When I Kissed the Teacher,ABBA,ABBA: You Can Dance,Disco / Funk,Inglés,2,1,abbawhenikissed_pc.ipk,4884,ABBAWhenIKissed
A Little Less Conversation (JXL Radio Edit Remix),Elvis Presley vs. JXL,Just Dance,Dance / Electrónica,Inglés,1,1,conversation_pc.ipk,1,Conversation
Acceptable In The 80s,Calvin Harris,Just Dance,Infantil,Inglés,1,1,acceptable_pc.ipk,1,Acceptable
Bebe,Divine Brown,Just Dance,Pop / Dance-Pop,Inglés,2,1,bebe_pc.ipk,1,Bebe
Can't Get You Out of My Head,Kylie Minogue,Just Dance,Pop / Dance-Pop,Inglés,1,1,cantgetyou_pc.ipk,1,CantGetYou
Cotton Eye Joe,Rednex,Just Dance,Country / Folk,Inglés,2,1,cotton_pc.ipk,1,Cotton
DARE,Gorillaz,Just Dance,Hip-Hop / Rap,Inglés,2,1,dare_pc.ipk,1,Dare
Eye of the Tiger,Survivor,Just Dance,Rock / Pop Rock,Inglés,1,1,eyeofthetiger_pc.ipk,1,EyeOfTheTiger
Fame,The Girly Team,Just Dance,Banda Sonora / Musical,Inglés,1,1,fame_pc.ipk,1,Fame
Funplex (CSS Remix),The B-52's,Just Dance,Dance / Electrónica,Inglés,2,1,funplex_pc.ipk,1,Funplex
Girls & Boys,Blur,Just Dance,Rock / Pop Rock,Inglés,2,1,gandb_pc.ipk,1,GAndB
Girls Just Want To Have Fun,Cyndi Lauper,Just Dance,Pop / Dance-Pop,Inglés,1,1,girlsjustwant_pc.ipk,1,GirlsJustWant
Heart Of Glass,Blondie,Just Dance,Rock / Pop Rock,Inglés,1,1,heartofglass_pc.ipk,1,HeartOfGlass
Hot N Cold (Chick Version),Katy Perry,Just Dance,Disco / Funk,Inglés,1,1,hotncold_pc.ipk,1,HotNCold
I Get Around,The Beach Boys,Just Dance,Pop / Dance-Pop,Inglés,1,1,getaround_pc.ipk,1,GetAround
I Like to Move It (Radio Mix),Reel 2 Real feat. The Mad Stuntman,Just Dance,Pop / Dance-Pop,Inglés,1,1,iliketomoveit_pc.ipk,1,ILikeToMoveIt
Le Freak,Chic,Just Dance,Disco / Funk,Inglés,1,1,lefreak_pc.ipk,1,LeFreak
Louie Louie,Iggy Pop,Just Dance,Pop / Dance-Pop,Inglés,1,1,louie_pc.ipk,1,Louie
Lump,The Presidents of The United States of America,Just Dance,Pop / Dance-Pop,Inglés,1,1,lump_pc.ipk,1,Lump
Mashed Potato Time,Dee Dee Sharp,Just Dance,Pop / Dance-Pop,Inglés,1,1,potato_pc.ipk,1,Potato
Step By Step,New Kids On The Block,Just Dance,Pop / Dance-Pop,Inglés,2,1,stepbystep_pc.ipk,1,StepByStep
That's The Way (I Like It),KC & The Sunshine Band,Just Dance,Disco / Funk,Inglés,2,1,thatstheway_pc.ipk,1,ThatsTheWay
U Can't Touch This,MC Hammer,Just Dance,Hip-Hop / Rap,Inglés,1,1,canttouchthis_pc.ipk,1,CantTouchThis
Wannabe,Spice Girls,Just Dance,K-Pop,Coreano,1,1,wannabe_pc.ipk,1,Wannabe
Who Let the Dogs Out,Baha Men,Just Dance,Pop / Dance-Pop,Inglés,1,1,dogsout_pc.ipk,1,DogsOut
Womanizer,Britney Spears,Just Dance,Pop / Dance-Pop,Inglés,1,1,womanizer_pc.ipk,1,Womanizer
A-Punk,Vampire Weekend,Just Dance 2,Pop / Dance-Pop,Inglés,2,2,apunk_pc.ipk,2,APunk
American Boy,Estelle Ft. Kanye West,Just Dance 2,Hip-Hop / Rap,Inglés,2,2,americanboy_pc.ipk,2,AmericanBoy
Baby Girl,Reggaeton,Just Dance 2,Pop / Dance-Pop,Inglés,1,1,babygirl_pc.ipk,2,BabyGirl
Barbie Girl,Aqua,Just Dance 2,Dance / Electrónica,Inglés,1,2,barbiegirl_pc.ipk,2,BarbieGirl
Big Girl (You Are Beautiful),MIKA,Just Dance 2,Pop / Dance-Pop,Inglés,1,1,biggirl_pc.ipk,2,BigGirl
Body Movin' (Fatboy Slim Remix),The Beastie Boys,Just Dance 2,Dance / Electrónica,Inglés,1,1,bodymoving_pc.ipk,2,BodyMoving
Born To Be Wild,Steppenwolf,Just Dance 2,Rock / Pop Rock,Inglés,1,1,borntobewild_pc.ipk,2,BornToBeWild
Chicken Payback,A Band of Bees,Just Dance 2,Disco / Funk,Inglés,1,1,chickenpayback_pc.ipk,2,ChickenPayback
Come On Eileen,Dexy's Midnight Runners,Just Dance 2,Pop / Dance-Pop,Inglés,2,2,comeon_pc.ipk,2,ComeOn
Cosmic Girl,Jamiroquai,Just Dance 2,Pop / Dance-Pop,Inglés,1,1,cosmicgirl_pc.ipk,2,CosmicGirl
Crazy Christmas,Santa Clones,Just Dance 2,Hip-Hop / Rap,Inglés,3,1,xmas_pc.ipk,2,Xmas
Crazy In Love,Beyoncé ft. JAY-Z,Just Dance 2,Hip-Hop / Rap,Inglés,1,1,crazyinlove_pc.ipk,2,CrazyInLove
Crying Blood,V V Brown,Just Dance 2,Pop / Dance-Pop,Inglés,1,1,cryingblood_pc.ipk,2,CryingBlood
D.A.N.C.E.,Justice,Just Dance 2,Pop / Dance-Pop,Inglés,1,1,dance_pc.ipk,2,Dance
Dagomba,Sorcerer,Just Dance 2,Dance / Electrónica,Inglés,2,1,electrotribaldlc_pc.ipk,2,ElectroTribalDLC
Down By The Riverside,The Reverend Horatio Duncan & Amos Sweets,Just Dance 2,K-Pop,Coreano,2,1,riverside_pc.ipk,2,RiverSide
Firework,Katy Perry,Just Dance 2,Pop / Dance-Pop,Inglés,1,1,Firework_pc.ipk,2,Firework
Funkytown,Lipps Inc.,Just Dance 2,Disco / Funk,Inglés,1,1,funkytown_pc.ipk,2,FunkyTown
Futebol Crazy,The World Cup Girls,Just Dance 2,Hip-Hop / Rap,Inglés,1,1,futebol_pc.ipk,2,Futebol
Girlfriend,Avril Lavigne,Just Dance 2,Pop / Dance-Pop,Inglés,1,2,girlfriend_pc.ipk,2,Girlfriend
Here Comes The Hotstepper,The Hit Crew,Just Dance 2,Pop / Dance-Pop,Inglés,2,1,hotstep_pc.ipk,2,HotStep
Hey Ya!,Outkast,Just Dance 2,Hip-Hop / Rap,Inglés,2,1,heyya_pc.ipk,2,HeyYa
Holiday,Madonna,Just Dance 2,J-Pop,Japonés,1,1,holiday_pc.ipk,2,Holiday
Hot Stuff,Donna Summer,Just Dance 2,Disco / Funk,Inglés,2,2,hotstuff_pc.ipk,2,HotStuff
I Want You Back,The Jackson 5,Just Dance 2,Pop / Dance-Pop,Inglés,2,1,iwantyouback_pc.ipk,2,IWantYouBack
Idealistic,Digitalism,Just Dance 2,Pop / Dance-Pop,Inglés,2,1,idealistic_pc.ipk,2,Idealistic
Iko Iko,Mardi Gras,Just Dance 2,Pop / Dance-Pop,Inglés,1,1,ikoiko_pc.ipk,2,IkoIko
It's Not Unusual,Tom Jones,Just Dance 2,Pop / Dance-Pop,Inglés,1,1,unusual_pc.ipk,2,Unusual
It's Raining Men,The Weather Girls,Just Dance 2,Disco / Funk,Inglés,1,1,itsrainingmen_pc.ipk,2,ItsRainingMen
Jai Ho! (You Are My Destiny),A R Rahman and The Pussycat Dolls Ft. Nicole Scherzinger,Just Dance 2,Pop / Dance-Pop,Inglés,1,1,jaiho_pc.ipk,2,JaiHo
Jump,Kriss Kross,Just Dance 2,Hip-Hop / Rap,Inglés,2,2,jump_pc.ipk,2,Jump
Jump In The Line,The Sunlight Shakers,Just Dance 2,Pop / Dance-Pop,Inglés,2,2,jumpintheline_pc.ipk,2,JumpInTheLine
Jungle Boogie,Studio Musicians,Just Dance 2,Pop / Dance-Pop,Inglés,2,1,jungleboogie_pc.ipk,2,JungleBoogie
Katti Kalandal,Bollywood,Just Dance 2,Pop / Dance-Pop,Inglés,2,2,kattikalandal_pc.ipk,2,KattiKalandal
Kung Fu Fighting (Dave Ruffy / Mark Wallis Remix),Carl Douglas,Just Dance 2,Disco / Funk,Inglés,2,2,kungfu_pc.ipk,2,KungFu
Mambo No. 5 (A Little Bit Of Monika),Lou Bega,Just Dance 2,Pop / Dance-Pop,Spanglish,3,2,mambo5_pc.ipk,2,Mambo5
Monster Mash,The Frighteners (in the style of Bobby 'Boris' Pickett & The Crypt-Kickers),Just Dance 2,Pop / Dance-Pop,Inglés,2,1,monstermash_pc.ipk,2,MonsterMash
Move Your Feet,Junior Senior,Just Dance 2,Pop / Dance-Pop,Inglés,2,1,moveyourfeet_pc.ipk,2,MoveYourFeet
Mugsy Baloney,Charleston,Just Dance 2,Pop / Dance-Pop,Inglés,2,2,mugsybaloney_pc.ipk,2,MugsyBaloney
Nine In The Afternoon,Panic! At The Disco,Just Dance 2,Rock / Pop Rock,Inglés,2,2,nineafternoon_pc.ipk,2,NineAfternoon
Professor Pumplestickle,Nick Phoenix and Thomas Bergersen,Just Dance 2,Rock / Pop Rock,Inglés,3,2,professeurdlc_pc.ipk,2,ProfesseurDLC
Proud Mary,Ike & Tina Turner,Just Dance 2,Pop / Dance-Pop,Inglés,1,1,proudmary_pc.ipk,2,ProudMary
Pump Up The Volume,M|A|R|R|S,Just Dance 2,Pop / Dance-Pop,Inglés,1,1,pumpup_pc.ipk,2,PumpUp
Rasputin,Boney M.,Just Dance 2,Disco / Funk,Inglés,2,1,rasputin_pc.ipk,2,Rasputin
Rockafeller Skank,Fatboy Slim,Just Dance 2,Dance / Electrónica,Inglés,2,1,rockafeller_pc.ipk,2,Rockafeller
Soul Bossa Nova,Quincy Jones & His Orchestra,Just Dance 2,Clásica / Instrumental,Inglés,1,2,soulbossanova_pc.ipk,2,SoulBossaNova
Sway (Quien Sera),Marine Band,Just Dance 2,Pop / Dance-Pop,Inglés,2,2,sway_pc.ipk,2,Sway
Take Me Out,Franz Ferdinand,Just Dance 2,Rock / Pop Rock,Inglés,2,1,takemeout_pc.ipk,2,TakeMeOut
That's Not My Name,The Ting Tings,Just Dance 2,Rock / Pop Rock,Inglés,2,1,thatsnotmyname_pc.ipk,2,ThatsNotMyName
TiK ToK,Ke$ha,Just Dance 2,Pop / Dance-Pop,Inglés,2,1,tiktok_pc.ipk,2,TikTok
Wake Me Up Before You Go-Go,Wham!,Just Dance 2,Dance / Electrónica,Inglés,2,1,wakemeup_pc.ipk,2,WakeMeUp
Walk Like An Egyptian,The Bangles,Just Dance 2,Pop / Dance-Pop,Inglés,1,1,walklike_pc.ipk,2,WalkLike
When I Grow Up,The Pussycat Dolls,Just Dance 2,Pop / Dance-Pop,Inglés,1,1,whenigrowup_pc.ipk,2,WhenIGrowUp
Why Oh Why,Love Letter,Just Dance 2,Pop / Dance-Pop,Inglés,2,2,whyowhy_pc.ipk,2,WhyOWhy
You Can't Hurry Love,The Supremes,Just Dance 2,R&B / Soul,Inglés,2,2,canthurrylove_pc.ipk,2,CantHurryLove
#thatPOWER,will.i.am Ft. Justin Bieber,Just Dance 2014,Hip-Hop / Rap,Inglés,4,1,thatpoweralt_pc.ipk,2014,ThatPowerALT
#thatPOWER,will.i.am Ft. Justin Bieber,Just Dance 2014,Hip-Hop / Rap,Inglés,2,3,thatpoweroscdlc_pc.ipk,2014,ThatPowerOSCDLC
#thatPOWER,will.i.am Ft. Justin Bieber,Just Dance 2014,Hip-Hop / Rap,Inglés,1,4,thatpower_pc.ipk,2014,ThatPower
99 Luftballons,Rutschen Planeten,Just Dance 2014,Pop / Dance-Pop,Alemán,1,2,luftballons_pc.ipk,2014,Luftballons
Alfonso Signorini (Eroe Nazionale),Fedez feat. Elio,Just Dance 2014,Hip-Hop / Rap,Inglés,2,1,alfonso_pc.ipk,2014,Alfonso
American Girl,Bonnie McKee,Just Dance 2014,Disco / Funk,Inglés,2,1,americangirldlc_pc.ipk,2014,AmericanGirlDLC
Applause,Lady Gaga,Just Dance 2014,Pop / Dance-Pop,Inglés,1,1,limagolf1_pc.ipk,2014,LimaGolf1
Aquarius/Let The Sunshine In,The Sunlight Shakers,Just Dance 2014,Dance / Electrónica,Inglés,1,2,aquarius_pc.ipk,2014,Aquarius
Blame It On The Boogie,The Jacksons,Just Dance 2014,Disco / Funk,Inglés,4,1,blameitalt_pc.ipk,2014,BlameItALT
Blame It On The Boogie,The Jacksons,Just Dance 2014,Disco / Funk,Inglés,2,4,blameit_pc.ipk,2014,BlameIt
Blurred Lines,Robin Thicke Ft. Pharrell Williams,Just Dance 2014,Rock / Pop Rock,Inglés,4,1,blurredlinesaltdlc_pc.ipk,2014,BlurredLinesALTDLC
Blurred Lines,Robin Thicke Ft. Pharrell Williams,Just Dance 2014,Rock / Pop Rock,Inglés,2,2,blurredlines_pc.ipk,2014,BlurredLines
Blurred Lines,Robin Thicke Ft. Pharrell Williams,Just Dance 2014,Rock / Pop Rock,Inglés,2,2,justmaxbl_pc.ipk,2014,JustMaxBL
C'mon,Ke$ha,Just Dance 2014,Pop / Dance-Pop,Inglés,1,2,cmon_pc.ipk,2014,Cmon
Can't Get Enough,Becky G Ft. Pitbull,Just Dance 2014,Pop / Dance-Pop,Spanglish,2,1,cantgetenoughdlc_pc.ipk,2014,CantGetEnoughDLC
Can't Hold Us,Macklemore & Ryan Lewis Ft. Ray Dalton,Just Dance 2014,K-Pop,Coreano,2,1,cantholddlc_pc.ipk,2014,CantHoldDLC
Candy,Robbie Williams,Just Dance 2014,Pop / Dance-Pop,Inglés,2,2,candy_pc.ipk,2014,Candy
Careless Whisper,George Michael,Just Dance 2014,Pop / Dance-Pop,Inglés,2,3,carelesswhisperosc_pc.ipk,2014,CarelessWhisperOSC
Careless Whisper,George Michael,Just Dance 2014,Pop / Dance-Pop,Inglés,2,2,carelesswhisper_pc.ipk,2014,CarelessWhisper
Could You Be Loved,Bob Marley,Just Dance 2014,Pop / Dance-Pop,Inglés,2,2,couldyoubeloved_pc.ipk,2014,CouldYouBeLoved
Danse (Pop version),Tal,Just Dance 2014,Pop / Dance-Pop,Inglés,1,1,danse_pc.ipk,2014,Danse
Dançando,Ivete Sangalo,Just Dance 2014,K-Pop,Coreano,2,1,dancando_pc.ipk,2014,Dancando
Don't You Worry Child,Swedish House Mafia,Just Dance 2014,Dance / Electrónica,Inglés,2,1,dontyouworrydlc_pc.ipk,2014,DontYouWorryDLC
Feel So Right,Imposs Ft. Konshens,Just Dance 2014,Pop / Dance-Pop,Inglés,2,1,feelsoright_pc.ipk,2014,FeelSoRight
Feel This Moment,Pitbull Ft. Christina Aguilera,Just Dance 2014,Dance / Electrónica,Inglés,2,1,feelthismoment_pc.ipk,2014,FeelThisMoment
Fine China,Chris Brown,Just Dance 2014,R&B / Soul,Inglés,4,1,finechinaalt_pc.ipk,2014,FineChinaALT
Fine China,Chris Brown,Just Dance 2014,R&B / Soul,Inglés,2,1,finechina_pc.ipk,2014,FineChina
Flashdance... What A Feeling,The Girly Team,Just Dance 2014,Pop / Dance-Pop,Inglés,2,1,whatafeeling_pc.ipk,2014,WhatAFeeling
Follow The Leader,Wisin & Yandel Ft. Jennifer Lopez,Just Dance 2014,Pop Latino / Urbano,Español,2,1,followtheleaderswt_pc.ipk,2014,FollowTheLeaderSWT
Follow the Leader,Wisin & Yandel Ft. Jennifer Lopez,Just Dance 2014,Pop Latino / Urbano,Español,3,1,followtheleader_pc.ipk,2014,FollowTheLeader
Gentleman,PSY,Just Dance 2014,K-Pop,Coreano,1,1,gentlemanswt_pc.ipk,2014,GentlemanSWT
Gentleman,PSY,Just Dance 2014,K-Pop,Coreano,1,1,gentleman_pc.ipk,2014,Gentleman
Get Lucky,Daft Punk Ft. Pharrell Williams,Just Dance 2014,Pop / Dance-Pop,Inglés,1,2,getlucky_pc.ipk,2014,GetLucky
Ghostbusters,Ray Parker Jr.,Just Dance 2014,Banda Sonora / Musical,Inglés,1,1,ghostbustersswt_pc.ipk,2014,GhostbustersSWT
Ghostbusters,Ray Parker Jr.,Just Dance 2014,Banda Sonora / Musical,Inglés,1,4,ghostbusters_pc.ipk,2014,Ghostbusters
Gimme! Gimme! Gimme! (A Man After Midnight),ABBA,Just Dance 2014,Disco / Funk,Inglés,1,3,gimmegimmeosc_pc.ipk,2014,GimmeGimmeOSC
Gimme! Gimme! Gimme! (A Man After Midnight),ABBA,Just Dance 2014,Disco / Funk,Inglés,1,1,gimmegimme_pc.ipk,2014,GimmeGimme
I Kissed a Girl,Katy Perry,Just Dance 2014,Rock / Pop Rock,Inglés,1,3,ikissedosc_pc.ipk,2014,IKissedOSC
I Kissed a Girl,Katy Perry,Just Dance 2014,Rock / Pop Rock,Inglés,1,1,ikissedswt_pc.ipk,2014,IKissedSWT
I Kissed a Girl,Katy Perry,Just Dance 2014,Rock / Pop Rock,Inglés,1,1,ikissed_pc.ipk,2014,IKissed
I Need Your Love,Calvin Harris Ft. Ellie Goulding,Just Dance 2014,Infantil,Inglés,1,1,ineedyourlovedlc_pc.ipk,2014,INeedYourLoveDLC
I Will Survive,Gloria Gaynor,Just Dance 2014,K-Pop,Coreano,1,3,iwillsurviveosc_pc.ipk,2014,IWillSurviveOSC
I Will Survive,Gloria Gaynor,Just Dance 2014,K-Pop,Coreano,1,1,iwillsurvive_pc.ipk,2014,IWillSurvive
In The Summertime,Mungo Jerry,Just Dance 2014,Pop / Dance-Pop,Inglés,2,4,summertime_pc.ipk,2014,SummerTime
Isidora,Bog Bog Orkestar,Just Dance 2014,Pop / Dance-Pop,Inglés,2,1,zagreb_pc.ipk,2014,Zagreb
It's You,Duck Sauce,Just Dance 2014,Pop / Dance-Pop,Inglés,1,1,itsyouswt_pc.ipk,2014,ItsYouSWT
It's You,Duck Sauce,Just Dance 2014,Pop / Dance-Pop,Inglés,1,1,itsyou_pc.ipk,2014,ItsYou
Just A Gigolo,Louis Prima,Just Dance 2014,Pop / Dance-Pop,Inglés,1,2,gigolo_pc.ipk,2014,Gigolo
Just Dance,Lady Gaga Ft. Colby O'Donis,Just Dance 2014,Pop / Dance-Pop,Inglés,1,3,justdanceosc_pc.ipk,2014,JustDanceOSC
Just Dance,Lady Gaga Ft. Colby O'Donis,Just Dance 2014,Pop / Dance-Pop,Inglés,2,1,justdanceswtdlc_pc.ipk,2014,JustDanceSWTDLC
Just Dance,Lady Gaga Ft. Colby O'Donis,Just Dance 2014,Pop / Dance-Pop,Inglés,1,1,justdance_pc.ipk,2014,JustDance
Kiss You,One Direction,Just Dance 2014,Rock / Pop Rock,Inglés,1,6,kissyousix_pc.ipk,2014,KissYouSIX
Kiss You,One Direction,Just Dance 2014,Rock / Pop Rock,Inglés,1,1,kissyouswt_pc.ipk,2014,KissYouSWT
Kiss You,One Direction,Just Dance 2014,Rock / Pop Rock,Inglés,2,4,kissyou_pc.ipk,2014,KissYou
Limbo,Daddy Yankee,Just Dance 2014,K-Pop,Español,2,1,limboswt_pc.ipk,2014,LimboSWT
Limbo,Daddy Yankee,Just Dance 2014,K-Pop,Español,2,2,limbo_pc.ipk,2014,Limbo
Love Boat,Frankie Bostello,Just Dance 2014,K-Pop,Coreano,1,1,loveboat_pc.ipk,2014,LoveBoat
Maria,Ricky Martin,Just Dance 2014,Pop Latino / Urbano,Español,2,1,mariaswt_pc.ipk,2014,MariaSWT
Maria,Ricky Martin,Just Dance 2014,Pop Latino / Urbano,Español,2,1,maria_pc.ipk,2014,Maria
Miss Understood,Sammie,Just Dance 2014,Pop / Dance-Pop,Inglés,1,1,misunderstood_pc.ipk,2014,Misunderstood
Moskau,Dancing Bros.,Just Dance 2014,Pop / Dance-Pop,Alemán,2,2,moskau_pc.ipk,2014,Moskau
My Main Girl,MainStreet,Just Dance 2014,Pop / Dance-Pop,Inglés,1,1,maingirldlc_pc.ipk,2014,MainGirlDLC
Nitro Bot,Sentai Express,Just Dance 2014,Pop / Dance-Pop,Inglés,1,2,robotrock_pc.ipk,2014,RobotRock
One Way Or Another (Teenage Kicks),One Direction,Just Dance 2014,Pop / Dance-Pop,Inglés,2,1,onewaydlc_pc.ipk,2014,OneWayDLC
Pound The Alarm,Nicki Minaj,Just Dance 2014,Hip-Hop / Rap,Inglés,4,1,poundthealarmaltdlc_pc.ipk,2014,PoundTheAlarmALTDLC
Pound The Alarm,Nicki Minaj,Just Dance 2014,Hip-Hop / Rap,Inglés,1,4,poundthealarm_pc.ipk,2014,PoundTheAlarm
Prince Ali,Disney's Aladdin,Just Dance 2014,Banda Sonora / Musical,Inglés,1,4,princeali_pc.ipk,2014,PrinceAli
Rich Girl,Gwen Stefani Ft. Eve,Just Dance 2014,R&B / Soul,Inglés,2,1,richgirlalt_pc.ipk,2014,RichGirlALT
Rich Girl,Gwen Stefani Ft. Eve,Just Dance 2014,R&B / Soul,Inglés,2,1,richgirl_pc.ipk,2014,RichGirl
Roar,Katy Perry,Just Dance 2014,Pop / Dance-Pop,Inglés,2,1,kilopapadlc_pc.ipk,2014,KiloPapaDLC
Rock N Roll,Avril Lavigne,Just Dance 2014,Pop / Dance-Pop,Inglés,1,1,rocknrolldlc_pc.ipk,2014,RockNRollDLC
Safe And Sound,Capital Cities,Just Dance 2014,Pop / Dance-Pop,Inglés,1,1,safeandsound_pc.ipk,2014,SafeAndSound
Sexy And I know It,LMFAO,Just Dance 2014,Dance / Electrónica,Inglés,2,1,sexyandiknowitdlc_pc.ipk,2014,SexyAndIKnowItDLC
She Wolf (Falling to Pieces),David Guetta Ft. SIA,Just Dance 2014,Dance / Electrónica,Inglés,2,1,shewolf_pc.ipk,2014,SheWolf
Starships,Nicki Minaj,Just Dance 2014,Hip-Hop / Rap,Inglés,3,2,starshipsalt_pc.ipk,2014,StarshipsALT
Starships,Nicki Minaj,Just Dance 2014,Hip-Hop / Rap,Inglés,2,1,starships_pc.ipk,2014,Starships
The Other Side,Jason Derulo,Just Dance 2014,Pop / Dance-Pop,Inglés,2,1,otherside_pc.ipk,2014,OtherSide
The Way,Ariana Grande Ft. Mac Miller,Just Dance 2014,Hip-Hop / Rap,Inglés,1,2,theway_pc.ipk,2014,TheWay
The World Is Ours,David Correy Ft. Monobloco,Just Dance 2014,K-Pop,Coreano,1,1,theworlddlc_pc.ipk,2014,TheWorldDLC
Timber,Pitbull Ft. Ke$ha,Just Dance 2014,Dance / Electrónica,Inglés,2,2,timberdlc_pc.ipk,2014,TimberDLC
Troublemaker,Olly Murs Ft. Flo Rida,Just Dance 2014,Hip-Hop / Rap,Inglés,1,1,troublemakerswt_pc.ipk,2014,TroublemakerSWT
Troublemaker,Olly Murs Ft. Flo Rida,Just Dance 2014,Hip-Hop / Rap,Inglés,3,1,troublemaker_pc.ipk,2014,Troublemaker
Turn Up The Love,Far East Movement Ft. Cover Drive,Just Dance 2014,K-Pop,Coreano,1,4,turnupthelovealt_pc.ipk,2014,TurnUpTheLoveALT
Turn Up The Love,Far East Movement Ft. Cover Drive,Just Dance 2014,K-Pop,Coreano,4,1,turnupthelovefan_pc.ipk,2014,TurnUpTheLoveFAN
Turn Up The Love,Far East Movement Ft. Cover Drive,Just Dance 2014,K-Pop,Coreano,2,2,turnupthelove_pc.ipk,2014,TurnUpTheLove
Wake Me Up,Avicii,Just Dance 2014,Dance / Electrónica,Inglés,2,1,wakemeupdlc_pc.ipk,2014,WakeMeUpDLC
Waking Up In Vegas,Katy Perry,Just Dance 2014,Pop / Dance-Pop,Inglés,1,1,wakingup_pc.ipk,2014,WakingUp
What About Love,Austin Mahone,Just Dance 2014,Pop / Dance-Pop,Inglés,2,1,whataboutlovedlc_pc.ipk,2014,WhatAboutLoveDLC
Where Have You Been,Rihanna,Just Dance 2014,R&B / Soul,Inglés,4,1,wherehaveyoualt_pc.ipk,2014,WhereHaveYouALT
Where Have You Been,Rihanna,Just Dance 2014,R&B / Soul,Inglés,2,3,wherehaveyouosc_pc.ipk,2014,WhereHaveYouOSC
Where Have You Been,Rihanna,Just Dance 2014,R&B / Soul,Inglés,3,1,wherehaveyou_pc.ipk,2014,WhereHaveYou
Wild,Jessie J Ft. Big Sean,Just Dance 2014,Hip-Hop / Rap,Inglés,2,1,wild_pc.ipk,2014,Wild
Y.M.C.A.,Village People,Just Dance 2014,Disco / Funk,Inglés,1,4,ymca_pc.ipk,2014,YMCA
4x4,Miley Cyrus,Just Dance 2015,Country / Folk,Inglés,2,4,4x4_pc.ipk,2015,4x4
Addicted To You,Avicii,Just Dance 2015,Dance / Electrónica,Inglés,2,1,addictedtoyou_pc.ipk,2015,AddictedToYou
Ain't No Mountain High Enough,Marvin Gaye & Tammi Terrell,Just Dance 2015,R&B / Soul,Inglés,1,2,nomountain_pc.ipk,2015,NoMountain
Bad Romance,Lady Gaga,Just Dance 2015,Pop / Dance-Pop,Inglés,4,1,badromancealt_pc.ipk,2015,BadRomanceALT
Bad Romance,Lady Gaga,Just Dance 2015,Pop / Dance-Pop,Inglés,2,3,badromance_pc.ipk,2015,BadRomance
Bailando,Enrique Iglesias feat. Descemer Bueno and Gente de Zona,Just Dance 2015,Pop Latino / Urbano,Spanglish,1,2,bailando_pc.ipk,2015,Bailando
Bang Bang,"Jessie J, Ariana Grande and Nicki Minaj",Just Dance 2015,Hip-Hop / Rap,Inglés,3,4,balance_pc.ipk,2015,Balance
